Canton,Salaire
Vaud,CHF 3500
Valais,CHF 1500 les premiers six mois de stage et CHF 2000 à partir du septième mois
Genève, CHF 3500 avec un diplôme de l'ECAV autrement CHF 2500 jusqu'au douzième mois de stage et ensuite CHF 3000 
Fribourg, CHF 1900 les premiers six mois de stage ensuite CHF 2200 du septième mois au douzième mois et CHF 2450 à partir du trezième mois de stage
Ticino, CHF 2000 les premiers six mois de stage ensuite CHF 2200 du septième au douzième et CHF 2500 à partir du trezième mois de stage
Aargau, CHF 3500-4500  
